"귀리, 겉귀리, 도정, 생것",373,9.4,11.4,3.7,73.5,-,-,2,0,-,-,-
"귀리, 쌀귀리, 도정, 생것",371,9.7,14.3,3.8,70.4,-,-,3,0,-,-,-
"귀리, 오트밀",382,12,13.2,8.2,64.9,-,18.8,4,-,-,-,-
"기장, 도정, 생것",360,11.3,11.2,1.9,74.6,-,-,6,0,-,-,-
"기장, 찰기장, 도정, 생것",365,11.3,12.46,3.09,71.91,0,4.6,2,0,12283,0,0.01
"메밀, 도정, 생것",363,13.1,13.64,3.38,67.84,0.5,6.3,1,0,12685,0,0
"메밀, 도정, 가루",374,10.5,12.96,3.29,71.36,0.37,8.5,1,0,11830,0,0
"메밀 국수, 생것",291,28.8,7.59,0.96,61.14,0,1.9,455,0,7232,0,0
"메밀 국수, 생것, 삶은것",124,70.1,3.54,0.44,25.73,0,1.7,38,0,3313,0,0
"메밀 국수, 말린것",372,8.3,13.58,1.27,74.41,2.77,4.6,707,1.07,12792,0,0
"메밀 국수, 말린것, 삶은것",114,72.4,4.28,0.4,22.65,0,1.5,35,0.18,3993,0,0
"메밀 냉면, 말린것",360,12.1,10.74,1.44,73.66,0,3.2,628,0,9822,0,0.01
"메밀 냉면, 말린것, 삶은것",141,66.2,4.22,0.59,28.71,0,1.4,68,0,3878,0,0
메밀묵,58,85.6,0.86,0.23,12.8,0,1.7,120,0,738,0,0
"메밀묵, 가루",371,11,8.33,2.04,77.39,0.26,4.1,2,0.34,7259,0,0
"멥쌀, 배아미, 생것",357,14.9,6.5,2,75.8,0.6,1.3,1,0,-,0,-
"멥쌀, 백미, 생것",363,13.4,6.4,0.4,79.5,-,-,8,0,-,-,-
"멥쌀, 백미, 가루 ",362,14,6.2,0.9,78.5,0.1,0.6,2,0,6115,0,-
"멥쌀, 칠분도미, 생것",368,12.3,6.9,1.1,79.1,-,-,2,0,-,-,-
"멥쌀, 고아미2호, 백미, 생것",379,10.9,8.9,2.7,76.4,-,-,21,0,-,-,-
"멥쌀, 고아미2호, 현미, 생것",374,10.6,9.6,4.6,73.3,-,-,26,0,-,-,-
"멥쌀, 농림나1호, 칠분도미, 생것",370,12.4,5.6,1.9,79.2,-,-,9,0,-,-,-
"멥쌀, 농림나1호, 현미, 생것",371,12.9,5.8,4.8,75.3,-,-,1,-,-,-,-
"멥쌀, 미국산, 백미, 생것",365,12.6,5.7,0.2,81.2,-,-,2,0,-,-,-
"멥쌀, 발아현미, 현미, 생것",371,10.3,7,2.3,79.4,-,-,3,0,-,-,-
"멥쌀, 밭벼, 백미, 생것",357,14.9,9.3,0.9,74.5,-0.2,0.5,1,0,-9000,0,-
"멥쌀, 밭벼, 칠분도미, 생것",358,14.9,9.5,1.5,73.4,-0.3,0.9,1,0,-9370,0,-
"멥쌀, 새추청벼, 백미, 생것",366,12.4,6.1,0.2,80.9,-,-,8,-,-,-,-
